Text Message,Tone Class,Label ID
Why is this ticket still open? You need to fix this NOW.,Aggressive/Frustrated,0
"Seriously, the deployment is always breaking. It's unacceptable!",Aggressive/Frustrated,0
I spent three hours fixing this stupid bug again. This is a mess.,Aggressive/Frustrated,0
This deadline is impossible. Just push it back already.,Aggressive/Frustrated,0
I'm not doing this task unless the requirements are clearer. Find someone else.,Aggressive/Frustrated,0
Who broke the build this time? This needs to stop.,Aggressive/Frustrated,0
"Everything is a priority, which means nothing is. Get your priorities straight.",Aggressive/Frustrated,0
This issue should have been resolved days ago. What is the hold-up?,Aggressive/Frustrated,0
I can't believe we missed that crucial detail. It's a failure.,Aggressive/Frustrated,0
Don't ever change the documentation without telling me first. It's a disaster.,Aggressive/Frustrated,0
"This is totally messed up, I can't even run the local environment.",Aggressive/Frustrated,0
We are completely wasting time on this meeting. Just send an email.,Aggressive/Frustrated,0
"That's a ridiculous suggestion, we are not moving in that direction.",Aggressive/Frustrated,0
I'm fed up with the constant last-minute changes on this project.,Aggressive/Frustrated,0
Why is this report delayed again? You must deliver it today.,Aggressive/Frustrated,0
This bug should have been fixed last week. It's totally unacceptable.,Aggressive/Frustrated,0
I can't believe the server crashed again. This platform is a joke.,Aggressive/Frustrated,0
We are wasting so much time on petty details. Speed up!,Aggressive/Frustrated,0
Don't bother me with minor details; just get the core problem solved.,Aggressive/Frustrated,0
"Seriously, the performance is terrible. It needs major overhaul.",Aggressive/Frustrated,0
You are making this far too complicated. Keep it simple!,Aggressive/Frustrated,0
Stop using that outdated library immediately. It's a security risk.,Aggressive/Frustrated,0
We are way behind schedule. I need full commitment from everyone.,Aggressive/Frustrated,0
"I told you explicitly to use the new framework, not the old one.",Aggressive/Frustrated,0
The latest deployment is fundamentally broken. This is a mess.,Aggressive/Frustrated,0
I spent three hours just fixing this stupid environment variable.,Aggressive/Frustrated,0
Your response time on this issue is completely inadequate.,Aggressive/Frustrated,0
This is the worst code I've seen all month. Refactor immediately.,Aggressive/Frustrated,0
"The client is furious, and this is entirely your fault.",Aggressive/Frustrated,0
I'm done dealing with these excuses. Give me results.,Aggressive/Frustrated,0
"I need the data dump NOW, not in an hour. Hurry up.",Aggressive/Frustrated,0
This is not what I asked for at all. Reread the ticket.,Aggressive/Frustrated,0
That deadline is not moving. Find a way to make it work.,Aggressive/Frustrated,0
My patience is running thin with these constant interruptions.,Aggressive/Frustrated,0
I'm sick of having to constantly chase people for simple updates.,Aggressive/Frustrated,0
Do not ever send me unfinished work like this again.,Aggressive/Frustrated,0
Who authorized this ridiculous change without my approval?,Aggressive/Frustrated,0
I am extremely disappointed by the lack of progress here.,Aggressive/Frustrated,0
Why did you ignore my clear instructions on that feature?,Aggressive/Frustrated,0
This project is a failure due to poor communication from your side.,Aggressive/Frustrated,0
That suggestion is ridiculous and shows a lack of understanding.,Aggressive/Frustrated,0
I cannot tolerate this level of instability in the system.,Aggressive/Frustrated,0
"The build failed again! Get it together, people.",Aggressive/Frustrated,0
This task is supposed to be simple. Why is it taking so long?,Aggressive/Frustrated,0
"If anyone has a moment, I'd appreciate some feedback on this task.",Passive/Ambiguous,1
"That idea sounds nice, but I'm just going to go with the default setting.",Passive/Ambiguous,1
"We can try that approach, I suppose, if there isn't any other option available.",Passive/Ambiguous,1
I'll just assume this is okay until I hear otherwise from the group.,Passive/Ambiguous,1
"Sorry to bother you, but could you maybe check on that ticket?",Passive/Ambiguous,1
"I'm not confident in my idea, so just ignore it if it's bad.",Passive/Ambiguous,1
"Perhaps we could try to meet, but only if it works for absolutely everyone.",Passive/Ambiguous,1
"I haven't finished the report, so I'll just send you what I have for now.",Passive/Ambiguous,1
"I don't want to step on anyone's toes, so I'll wait for consensus.",Passive/Ambiguous,1
